,title,year,genre,synopsis
0,아이 좀비,2017,드라마,좀비가 된 의대생은 인간성을 유지하기 위해 영안실에서 뇌를 먹어치우며 지내던 중 범죄를 해결하는 묘한 재능이 생겼음을 발견한다.
1,주,2017,드라마,"전 세계 동물들이 인간을 공격하기 시작하자, 논란이 많은 동물학자 잭슨 오즈는 갑작스러운 변화의 원인을 알아내려 애쓴다."
2,지그와 샤코,2016,드라마,"무인도에서 옴짝달싹 못 하고 배만 곯는 하이에나 지그. 인어 마리나를 잡아먹으려 요리조리 머리를 쓰지만, 상어 샤코의 끊임없는 훼방에 어제도, 오늘도, 내일도 꼬르륵~"
3,Z 네이션,2017,드라마,"치명적인 좀비 바이러스에서 살아남은 남자가 백신에 대한 키를 쥐고 있다고 믿고, 그들은 위험천만한 미국 횡단에 도전한다."
4,겁쟁이 페달,2017,드라마,왜소한 체격에 소심한 성격. 취미는 애니메이션 감상. 누가 봐도 스포츠와 거리가 먼 남고생이 사이클부원이 됐다. 통학하던 자전거 실력으로 레이서들과 겨룰 수 있겠니? 아니 그 전에 혹독한 지옥 훈련을 버틸 수나 있겠어?
5,4월은 너의 거짓말,2014,드라마,어머니가 죽은 후 연주에 대한 의지를 잃어버린 피아노 신동. 그러나 바이올린을 연주하는 자유분방한 성격의 소녀를 만나면서 그의 삶은 달라진다.
6,영 저스티스,2012,드라마,슈퍼히어로계에 샛별이 떠올랐다? 특출한 재능을 지닌 10대들이 어른 히어로의 조수 역할에 안주하지 않고 독립된 팀을 꾸렸다. 이름하여 영 저스티스! 세상은 우리가 구한다!
7,"당신과 나, 그리고 그녀",2018,드라마 NETFLIX ORIGINAL,성생활에 변화를 주기 위해 도우미를 고용한 잭과 에마. 하지만 세 사람 사이에 예상치 못한 로맨스가 싹트면서 상황은 꼬여버리고 만다.
8,너의 모든 것,2018,드라마 NETFLIX ORIGINAL,"뉴욕의 서점 매니저가 작가 지망생에게 반한다. 집착의 늪에 사로잡힌 남자, 그녀를 얻을 수만 있다면 무슨 짓이든 저지를 수 있다. 그의 위험한 사랑을 다룬 스릴러."
9,유후와 친구들,2012,드라마,유후와 왕방울 눈을 가진 네 친구가 지구의 환경을 지키는 일에 앞장서요! 신비로운 자연을 배경으로 따뜻한 우정을 쌓아 가는 우리 친구들을 함께 만나볼까요?
10,새벽의 연화,2015,드라마,"세상 물정 모르는 철부지 공주에게 갑자기 찾아온 비극. 짝사랑하던 사람이 눈앞에서 아버지를 시해한 것! 도망 길에 오른 공주는 맹세한다. 빼앗긴 왕국, 꼭 되찾고 말겠어!"
11,요괴워치,2014,드라마,마법 캡슐 안에 갇힌 요괴를 풀어준 민호. 새 요괴 친구와 함께 다양한 말썽꾸러기 요괴들과의 신나는 모험에 나선다.
12,YG전자,2018,드라마 NETFLIX ORIGINAL,"빅뱅의 막내 승리, YG 전략자료본부실의 고문이 되다! 다 양 회장님 눈에 든 덕? 기대 가득 첫 출근, 그런데 여기 좀 이상해! YG 스타들이 총출동하는 리얼 시트콤."
